c_SigleDuCours,c_TitreDuCours,c_TypeDuCours,c_NombreDeCrédits,c_ChargeHebdomadaire,c_DépartementResponsable
"ENV 6012","Aires marines protégées : conservation et protection de l'habitat des cétacés","Cours sans examen",3,"9 heures par semaine",Environnement
"ENV 6410","Lectures dirigées","Cours sans examen",3,"9 heures par semaine",Environnement
"ENV 6415","Projet personnel","Cours sans examen",9,"9 heures par semaine",Environnement
"ENV 6425",Séminaire,"Cours sans examen",3,"9 heures par semaine",Environnement
"ENV 6000","Pensées écologiques et environnement international","Cours sans examen",3,"9 heures par semaine",Environnement
"ENV 6002","Gestion internationale du développement durable","Cours sans examen",3,"9 heures par semaine",Environnement
"ENV 6003","Changements climatiques: impacts, adaptation, mitigation","Cours sans examen",3,"9 heures par semaine",Environnement
"ENV 6005","Populations, écosystèmes et services écosystémiques","Cours sans examen",3,"9 heures par semaine",Environnement
"ENV 6006","Résolution de problèmes environnementaux","Cours sans examen",3,"9 heures par semaine",Environnement
"ENV 6007","Océans et gestion intégrée des zones côtières","Cours sans examen",3,"9 heures par semaine",Environnement
"ENV 6008","Modélisation et systèmes d'aide à la décision en environnement","Cours sans examen",3,"9 heures par semaine",Environnement
"ENV 6009","Approche écosystèmique de la santé","Information manquante",3,"9 heures par semaine",Environnement
"ENV 6010","Gestion des zones côtières: écotourisme et activités d'observation des mammifères marins","Cours sans examen",3,"9 heures par semaine",Environnement
"ENV 6011","Fondements et pratiques en santé environnementale","Cours sans examen",3,"9 heures par semaine",Environnement
"ENV 6012","Aires marines protégées : conservation et protection de l'habitat des cétacés","Cours sans examen",3,"9 heures par semaine",Environnement
"ENV 6410","Lectures dirigées","Cours sans examen",3,"9 heures par semaine",Environnement
"ENV 6420","Recherche appliquée","Cours sans examen",3,"9 heures par semaine",Environnement
"ENV 6425",Séminaire,"Cours sans examen",3,"9 heures par semaine",Environnement
"ENV 6007","Océans et gestion intégrée des zones côtières","Cours sans examen",3,"9 heures par semaine",Environnement
"ENV 6010","Gestion des zones côtières: écotourisme et activités d'observation des mammifères marins","Cours sans examen",3,"9 heures par semaine",Environnement
"ENV 6006","Résolution de problèmes environnementaux","Cours sans examen",3,"9 heures par semaine",Environnement
"ENV 6012","Aires marines protégées : conservation et protection de l'habitat des cétacés","Cours sans examen",3,"9 heures par semaine",Environnement
"ENV 6018","Services écosystémiques en milieux côtiers et marins","Information manquante",3,"9 heures par semaine",Environnement
"ENV 6003","Changements climatiques: impacts, adaptation, mitigation","Cours sans examen",3,"9 heures par semaine",Environnement
"ENV 6014","Impacts des changements climatiques et de l'augmentation du niveau de la mer en zone côtière","Information manquante",3,"9 heures par semaine",Environnement
"ENV 6011","Fondements et pratiques en santé environnementale","Cours sans examen",3,"9 heures par semaine",Environnement
"ENV 6020","Écotoxicologie aquatique","Information manquante",3,"9 heures par semaine",Environnement
"ENV 6008","Modélisation et systèmes d'aide à la décision en environnement","Cours sans examen",3,"9 heures par semaine",Environnement
"ENV 6016","Méthodes de géomatique appliquées aux zones côtières","Information manquante",3,"9 heures par semaine",Environnement
"ENV 6410","Lectures dirigées","Cours sans examen",3,"9 heures par semaine",Environnement
"ENV 6415","Projet personnel","Cours sans examen",9,"9 heures par semaine",Environnement
"ENV 6007","Océans et gestion intégrée des zones côtières","Cours sans examen",3,"9 heures par semaine",Environnement
"ENV 6006","Résolution de problèmes environnementaux","Cours sans examen",3,"9 heures par semaine",Environnement
"ENV 6010","Gestion des zones côtières: écotourisme et activités d'observation des mammifères marins","Cours sans examen",3,"9 heures par semaine",Environnement
"ENV 6012","Aires marines protégées : conservation et protection de l'habitat des cétacés","Cours sans examen",3,"9 heures par semaine",Environnement
"ENV 6018","Services écosystémiques en milieux côtiers et marins","Information manquante",3,"9 heures par semaine",Environnement
"ENV 6003","Changements climatiques: impacts, adaptation, mitigation","Cours sans examen",3,"9 heures par semaine",Environnement
"ENV 6014","Impacts des changements climatiques et de l'augmentation du niveau de la mer en zone côtière","Information manquante",3,"9 heures par semaine",Environnement
"ENV 6011","Fondements et pratiques en santé environnementale","Cours sans examen",3,"9 heures par semaine",Environnement
"ENV 6020","Écotoxicologie aquatique","Information manquante",3,"9 heures par semaine",Environnement
"ENV 6008","Modélisation et systèmes d'aide à la décision en environnement","Cours sans examen",3,"9 heures par semaine",Environnement
"ENV 6016","Méthodes de géomatique appliquées aux zones côtières","Information manquante",3,"9 heures par semaine",Environnement
"ENV 6410","Lectures dirigées","Cours sans examen",3,"9 heures par semaine",Environnement
"ENV 6420","Recherche appliquée","Cours sans examen",3,"9 heures par semaine",Environnement
"ENV 6425",Séminaire,"Cours sans examen",3,"9 heures par semaine",Environnement
"ADM 1700","Principes de l'assurance de personnes","Cours avec examen",3,"9 heures par semaine",Finance
"ADM 7012","Retraite et planification successorale","Cours avec examen",3,"9 heures par semaine",Finance
"ADM 7014","Approfondissement de la planification successorale","Cours avec examen",3,"9 heures par semaine",Finance
"ADM 7030","Activité d'intégration en planification financière","Cours avec examen",3,"9 heures par semaine",Finance
"DRT 1910","Aspects juridiques pour planificateurs financiers","Cours avec examen",3,"9 heures par semaine",Finance
"FIN 1932","Fonds d'inverstissement et produits finenciers","Cours avec examen",3,"9 heures par semaine",Finance
"SCO 1060","Fiscalité 1","Cours avec examen",3,"9 heures par semaine",Finance
"SCO 1064","Fiscalité 2 pour planificateurs financiers","Cours avec examen",3,"9 heures par semaine",Finance
"ADM 7015","Stratégies de sollicitation en planification financière personnelle","Cours avec examen",3,"9 heures par semaine",Finance
"ECO 2400","Analyse macroéconomique","Cours avec examen",3,"9 heures par semaine",Finance
"FIN 1020","Administration financière 1","Cours avec examen",3,"9 heures par semaine",Finance
"SCO 1205","Initiation à la comptabilité financière","Cours avec examen",3,"9 heures par semaine",Finance
"ADM 1700","Principes de l'assurance de personnes","Cours avec examen",3,"9 heures par semaine",Finance
"ADM 7012","Retraite et planification successorale","Cours avec examen",3,"9 heures par semaine",Finance
"ADM 7014","Approfondissement de la planification successorale","Cours avec examen",3,"9 heures par semaine",Finance
"ADM 7030","Activité d'intégration en planification financière","Cours avec examen",3,"9 heures par semaine",Finance
"DRT 1910","Aspects juridiques pour planificateurs financiers","Cours avec examen",3,"9 heures par semaine",Finance
"FIN 1932","Fonds d'inverstissement et produits finenciers","Cours avec examen",3,"9 heures par semaine",Finance
"SCO 1060","Fiscalité 1","Cours avec examen",3,"9 heures par semaine",Finance
"SCO 1064","Fiscalité 2 pour planificateurs financiers","Cours avec examen",3,"9 heures par semaine",Finance
"ADM 7015","Stratégies de sollicitation en planification financière personnelle","Cours avec examen",3,"9 heures par semaine",Finance
"ECO 2400","Analyse macroéconomique","Cours avec examen",3,"9 heures par semaine",Finance
"FIN 1020","Administration financière 1","Cours avec examen",3,"9 heures par semaine",Finance
"SCO 1205","Initiation à la comptabilité financière","Cours avec examen",3,"9 heures par semaine",Finance
"ADM 1013","Comportement organisationnel","Cours avec examen",3,"9 heures par semaine",Finance
"ADM 2007","Introduction au marketing","Cours avec examen",3,"9 heures par semaine",Finance
"SCO 1205","Initiation à la comptabilité financière","Cours avec examen",3,"9 heures par semaine",Finance
"ADM 1015","Gestion des ressources humaines","Cours avec examen",3,"9 heures par semaine",Finance
"ADM 2006","Les systèmes d'information de gestion","Cours avec examen",3,"9 heures par semaine",Finance
"ECO 1300","Analyse microéconomique","Cours avec examen",3,"9 heures par semaine",Finance
"DRT 1060","Droit des affaires","Cours avec examen",3,"9 heures par semaine",Finance
"FIN 1020","Administration financière 1","Cours avec examen",3,"9 heures par semaine",Finance
"ADM 1002","Initiation à la gestion","Cours avec examen",3,"9 heures par semaine",Finance
"ADM 3011","Éthique et responsabilité sociale des entreprises","Cours avec examen",3,"9 heures par semaine",Finance
"ECO 2400","Analyse macroéconomique","Cours avec examen",3,"9 heures par semaine",Finance
"ADM 1420","Gestion des opérations","Cours avec examen",3,"9 heures par semaine",Finance
"MQT 2001","Statistiques appliquées à la gestion","Cours avec examen",3,"9 heures par semaine",Finance
"ADM 1402","Entreprise et société","Cours avec examen",3,"9 heures par semaine",Finance
"ADM 4007","Analyse stratégique de l'entreprise","Cours avec examen",3,"9 heures par semaine",Finance
"ADM 1400","Théories de l'organisation","Cours sans examen",3,"9 heures par semaine",Finance
"ADM 3028","Len enjeux éthiques, légaux et sociétaux des TI","Cours avec examen",3,"9 heures par semaine",Finance
"FIN 1936","Valeurs mobilières et gestion de portefeuille","Cours avec examen",3,"9 heures par semaine",Finance
"FIN 2020","Administration financière 2","Cours avec examen",3,"9 heures par semaine",Finance
"FIN 2022","Analyse financière et gestion du fonds de roulement","Cours avec examen",3,"9 heures par semaine",Finance
"FIN 2024","Évaluation d'entreprise","Cours sans examen",3,"9 heures par semaine",Finance
"FIN 3120","Éléments d'analyse du crédit productif en microfinance","Cours avec examen",3,"9 heures par semaine",Finance
"SCO 1060","Fiscalité 1","Cours avec examen",3,"9 heures par semaine",Finance
"SCO 2001","Initiation à la comptabilité ed management","Cours avec examen",3,"9 heures par semaine",Finance
"SCO 3001","Comptabilité de management et contr[ole ","Cours avec examen",3,"9 heures par semaine",Finance
"SCO 3202","Comptabilité intermédiaire 1","Cours avec examen",3,"9 heures par semaine",Finance
"SCO 3212","Comptabilité intermédiaire 2","Cours avec examen",3,"9 heures par semaine",Finance
"SCO 3214","Gouvernance d'entreprise: aspects comptables et financiers","Cours avec examen",3,"9 heures par semaine",Finance
"ADM 1450","Initiation à la gestion de projets","Cours avec examen",3,"9 heures par semaine",Finance
"ADM 3013","Gestion de la responsabilité sociale des entreprises","A définir prochainement",3,"9 heures par semaine",Finance
"DRT 1062","Gouvernance de l'entreprise et responsabilités juridiques des administrateurs","Cours avec examen",3,"9 heures par semaine",Finance
"ECO 2011","Économie du Québec","Cours avec examen",3,"9 heures par semaine",Finance
"FIN 1932","Fonds d'inverstissement et produits finenciers","Cours avec examen",3,"9 heures par semaine",Finance
"FIN 2301","Paradis fiscaux et finance offshore","Cours sans examen",3,"9 heures par semaine",Finance
"SCO 1065","Fiscalité 2","Cours avec examen",3,"9 heures par semaine",Finance
"SCO 2205","Présentation et analyse des états financiers","Cours avec examen",3,"9 heures par semaine",Finance
"SCO 4001","Certification et éthique professionnelle","Cours avec examen",3,"9 heures par semaine",Finance
"ADM 1013","Comportement organisationnel","Cours avec examen",3,"9 heures par semaine",Finance
"ADM 2007","Introduction au marketing","Cours avec examen",3,"9 heures par semaine",Finance
"SCO 1205","Initiation à la comptabilité financière","Cours avec examen",3,"9 heures par semaine",Finance
"ADM 1015","Gestion des ressources humaines","Cours avec examen",3,"9 heures par semaine",Finance
"ADM 2006","Les systèmes d'information de gestion","Cours avec examen",3,"9 heures par semaine",Finance
"ECO 1300","Analyse microéconomique","Cours avec examen",3,"9 heures par semaine",Finance
"DRT 1060","Droit des affaires","Cours avec examen",3,"9 heures par semaine",Finance
"FIN 1020","Administration financière 1","Cours avec examen",3,"9 heures par semaine",Finance
"ADM 1002","Initiation à la gestion","Cours avec examen",3,"9 heures par semaine",Finance
"ADM 3011","Éthique et responsabilité sociale des entreprises","Cours avec examen",3,"9 heures par semaine",Finance
"ECO 2400","Analyse macroéconomique","Cours avec examen",3,"9 heures par semaine",Finance
"ADM 1420","Gestion des opérations","Cours avec examen",3,"9 heures par semaine",Finance
"MQT 2001","Statistiques appliquées à la gestion","Cours avec examen",3,"9 heures par semaine",Finance
"ADM 1402","Entreprise et société","Cours avec examen",3,"9 heures par semaine",Finance
"ADM 4007","Analyse stratégique de l'entreprise","Cours avec examen",3,"9 heures par semaine",Finance
"ADM 1400","Théories de l'organisation","Cours sans examen",3,"9 heures par semaine",Finance
"ADM 3028","Len enjeux éthiques, légaux et sociétaux des TI","Cours avec examen",3,"9 heures par semaine",Finance
"ADM 1700","Principes de l'assurance de personnes","Cours avec examen",3,"9 heures par semaine",Finance
"ADM 7012","Retraite et planification successorale","Cours avec examen",3,"9 heures par semaine",Finance
"ADM 7014","Approfondissement de la planification successorale","Cours avec examen",3,"9 heures par semaine",Finance
"ADM 7015","Stratégies de sollicitation en planification financière personnelle","Cours avec examen",3,"9 heures par semaine",Finance
"ADM 7030","Activité d'intégration en planification financière","Cours avec examen",3,"9 heures par semaine",Finance
"DRT 1910","Aspects juridiques pour planificateurs financiers","Cours avec examen",3,"9 heures par semaine",Finance
"FIN 1932","Fonds d'inverstissement et produits finenciers","Cours avec examen",3,"9 heures par semaine",Finance
"SCO 1060","Fiscalité 1","Cours avec examen",3,"9 heures par semaine",Finance
"SCO 1064","Fiscalité 2 pour planificateurs financiers","Cours avec examen",3,"9 heures par semaine",Finance
"FIN 1936","Valeurs mobilières et gestion de portefeuille","Cours avec examen",3,"9 heures par semaine",Finance
"FIN 2020","Administration financière 2","Cours avec examen",3,"9 heures par semaine",Finance
"FIN 2022","Analyse financière et gestion du fonds de roulement","Cours avec examen",3,"9 heures par semaine",Finance
"SCO 2205","Présentation et analyse des états financiers","Cours avec examen",3,"9 heures par semaine",Finance
"ADM 4010","Stratégie d'entreprise","Cours avec examen",3,"9 heures par semaine",Finance
"ADM 4052","Intervention en planification financière","Cours sans examen",3,"9 heures par semaine",Finance
"ADM 4062","Observation en planification financière","Cours sans examen",3,"9 heures par semaine",Finance
"FIN 6100","Fondements théoriques de la finance","Cours avec examen",3,"9 heures par semaine",Finance
"FIN 6103","Aspects juridiques de la finance d'entreprise","Cours avec examen",3,"9 heures par semaine",Finance
"FIN 6105","Diagnostic financier","Cours avec examen",3,"9 heures par semaine",Finance
"FIN 6111","Analyse des investissements","Cours avec examen",3,"9 heures par semaine",Finance
"FIN 6215","Environnement financier","Cours avec examen",3,"9 heures par semaine",Finance
"FIN 6235","Décisions et sources de financement des entreprises","Cours avec examen",3,"9 heures par semaine",Finance
"FIN 6304","Fusions, acquisitions et restructurations d'entreprises","Cours sans examen",3,"9 heures par semaine",Finance
"FIN 6308","Gestion de la performance et du risque","Cours avec examen",3,"9 heures par semaine",Finance
"FIN 6312","Gestion des risques financiers","Cours avec examen",3,"9 heures par semaine",Finance
FIN6402,"Projet personnel","Cours sans examen",3,"9 heures par semaine",Finance
"ADM 6030","Gestion des risques en affaires électroniques","Cours sans examen",3,"9 heures par semaine",Finance
"FIN 6302","Stratégie financière et création de la valeur","Cours sans examen",3,"9 heures par semaine",Finance
"ADM 3012","Gestion de la diversité culturelle","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"ADM 4015","Modèles internationaux de gestion des ressources humaines","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"ECO 3003","Économie du travail","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"ECO 3005","Développement économique et emploi","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"RIN 1025","Équité en emploi/Équité salariale","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"RIN 2013","Conciliation emploi-famille et temps de travail","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"RIN 2015","Politiques et pratiques de gestion de la main-d'œuvre vieillissante","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"ADM 1015","Gestion des ressources humaines","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"ADM 4015","Modèles internationaux de gestion des ressources humaines","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"ADM 1013","Comportement organisationnel","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"ADM 4025","Séminaire thématique en gestion de ressources humaines","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"ADM 1404","Travail et société","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"ADM 2010","Gestion de la formation et développement des ressources humaines","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"ADM 3012","Gestion de la diversité culturelle","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"DRT 1080","Droit du travail au Québec","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"ECO 3003","Économie du travail","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"ECO 3004","Formation et compétitivité économique","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"ECO 3005","Développement économique et emploi","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"RIN 1011",Dotation,"Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"RIN 1012","Droit et pratique des conventions collectives","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"RIN 1016","Gestion de la rémunération","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"RIN 1022","Négociation collective contemporaine","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"RIN 2013","Conciliation emploi-famille et temps de travail","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"RIN 2015","Politiques et pratiques de gestion de la main-d'œuvre vieillissante","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"RIN 4120","Innovation, organisation du travail et gestion des ressources humaines","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"ADM 1002","Initiation à la gestion","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"ADM 1013","Comportement organisationnel","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"ADM 1015","Gestion des ressources humaines","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"ADM 4015","Modèles internationaux de gestion des ressources humaines","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"ADM 4025","Séminaire thématique en gestion de ressources humaines","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"DRT 1080","Droit du travail au Québec","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"RIN 1016","Gestion de la rémunération","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"RIN 2013","Conciliation emploi-famille et temps de travail","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"ADM 1400","Théories de l'organisation","Cours sans examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"ADM 1404","Travail et société","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"ADM 2010","Gestion de la formation et développement des ressources humaines","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"ADM 3012","Gestion de la diversité culturelle","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"ADM 4020","Gestion du rendement","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"ECO 3004","Formation et compétitivité économique","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"ECO 3005","Développement économique et emploi","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"RIN 1011",Dotation,"Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"RIN 1012","Droit et pratique des conventions collectives","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"RIN 1013","Problèmes de santé au travail","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"RIN 1014","Problèmes de sécurité au travail","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"RIN 1015","Gestion du dossier de santé et de sécurité au travail","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"RIN 1025","Équité en emploi/Équité salariale","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"RIN 2015","Politiques et pratiques de gestion de la main-d'œuvre vieillissante","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"RIN 4120","Innovation, organisation du travail et gestion des ressources humaines","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"ADM 1002","Initiation à la gestion","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"DRT 1080","Droit du travail au Québec","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"ECO 3003","Économie du travail","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"RIN 1012","Droit et pratique des conventions collectives","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"RIN 1022","Négociation collective contemporaine","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"RIN 1024","Arbitrage des griefs","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"ADM 1013","Comportement organisationnel","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"ADM 1015","Gestion des ressources humaines","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"ADM 1404","Travail et société","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"RIN 1011",Dotation,"Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"RIN 1016","Gestion de la rémunération","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"RIN 2015","Politiques et pratiques de gestion de la main-d'œuvre vieillissante","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"ADM 4025","Séminaire thématique en gestion de ressources humaines","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"ECO 3005","Développement économique et emploi","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"RIN 1025","Équité en emploi/Équité salariale","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"RIN 2013","Conciliation emploi-famille et temps de travail","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"RIN 1013","Problèmes de santé au travail","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"RIN 1014","Problèmes de sécurité au travail","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"RIN 1015","Gestion du dossier de santé et de sécurité au travail","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"RIN 1017","Les défis de l'intervention préventiveen santé et sécurité au travail","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"ADM 1013","Comportement organisationnel","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"ADM 2007","Introduction au marketing","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"SCO 1205","Initiation à la comptabilité financière","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"ADM 1015","Gestion des ressources humaines","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"ADM 2006","Les systèmes d'information de gestion","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"ECO 1300","Analyse microéconomique","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"DRT 1060","Droit des affaires","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"FIN 1020","Administration financière 1","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"ADM 1002","Initiation à la gestion","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"ADM 3011","Éthique et responsabilité sociale des entreprises","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"ECO 2400","Analyse macroéconomique","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"ADM 1420","Gestion des opérations","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"MQT 2001","Statistiques appliquées à la gestion","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"ADM 1402","Entreprise et société","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"ADM 4007","Analyse stratégique de l'entreprise","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"ADM 1400","Théories de l'organisation","Cours sans examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"ADM 3028","Len enjeux éthiques, légaux et sociétaux des TI","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"ADM 2010","Gestion de la formation et développement des ressources humaines","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"ADM 4015","Modèles internationaux de gestion des ressources humaines","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"DRT 1080","Droit du travail au Québec","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"ECO 3003","Économie du travail","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"RIN 1008","Introduction aux relations insdustrielles","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"RIN 1011",Dotation,"Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"RIN 1015","Gestion du dossier de santé et de sécurité au travail","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"RIN 1016","Gestion de la rémunération","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"RIN 1025","Équité en emploi/Équité salariale","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"RIN 2013","Conciliation emploi-famille et temps de travail","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"RIN 2015","Politiques et pratiques de gestion de la main-d'œuvre vieillissante","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"ADM 1404","Travail et société","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"ADM 3012","Gestion de la diversité culturelle","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"ADM 3053","Portfolio de formation en gestion des ressources humaines","Cours sans examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"ADM 4020","Gestion du rendement","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"ADM 4025","Séminaire thématique en gestion de ressources humaines","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"ADM 4056","Intervention en gestion des ressources humaines","Cours sans examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"ECO 3004","Formation et compétitivité économique","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"ECO 3005","Développement économique et emploi","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"RIN 1012","Droit et pratique des conventions collectives","Cours sans examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"RIN 1013","Problèmes de santé au travail","Cours sans examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"RIN 1014","Problèmes de sécurité au travail","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"RIN 1022","Négociation collective contemporaine","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
"RIN 1024","Arbitrage des griefs","Cours avec examen",3,"9 heures par semaine","Gestion des ressources  humaines et relations de travail"
