c_SigleDuCours,c_TitreDuCours,c_TypeDuCours,c_NombreDeCrédits,c_NuméroDuProgramme,c_ProfilDeFormationDuprogramme
"SCO 1205","Initiation à la comptabilité financière","Cours avec examen",3,4089,"Compétences entrepreneuriales et gestion des PME/PMO"
"ADM 2124","Entrepreneuriat social et entreprise collective","A définir prochainement",3,4089,"Compétences entrepreneuriales et gestion des PME/PMO"
"ADM 3007","Initiatives de développement local et d'économie sociale","Cours avec examen",3,4089,"Compétences entrepreneuriales et gestion des PME/PMO"
"ADM 3011","Éthique et responsabilité sociale des entreprises","Cours avec examen",3,4089,"Compétences entrepreneuriales et gestion des PME/PMO"
"ADM 3013","Gestion de la responsabilité sociale des entreprises","A définir prochainement",3,4089,"Compétences entrepreneuriales et gestion des PME/PMO"
"ECO 2021","Économie responsable","Cours avec examen",3,4089,"Compétences entrepreneuriales et gestion des PME/PMO"
"INT 2030","Coopération internationale, gouvernance et développement démocratique","Cours avec examen",3,4089,"Compétences entrepreneuriales et gestion des PME/PMO"
"ADM 3014","Développement économique et soutien à l'entrepreneuriat","Cours sans examen",3,4089,"Compétences entrepreneuriales et gestion des PME/PMO"
"ADM 3014A","Simulation-Soutien à l'entrepreneuriat et développement économique","Cours sans examen",3,4089,"Compétences entrepreneuriales et gestion des PME/PMO"
"ADM 7015","Stratégies de sollicitation en planification financière personnelle","Cours avec examen",3,4089,"Compétences entrepreneuriales et gestion des PME/PMO"
"ECO 3005","Développement économique et emploi","Cours avec examen",3,4089,"Compétences entrepreneuriales et gestion des PME/PMO"
"ADM 1013","Comportement organisationnel","Cours avec examen",3,6772,"Administration (entrepreneuriat)"
"ADM 2007","Introduction au marketing","Cours avec examen",3,6772,"Administration (entrepreneuriat)"
"SCO 1205","Initiation à la comptabilité financière","Cours avec examen",3,6772,"Administration (entrepreneuriat)"
"ADM 1015","Gestion des ressources humaines","Cours avec examen",3,6772,"Administration (entrepreneuriat)"
"ADM 2006","Les systèmes d'information de gestion","Cours avec examen",3,6772,"Administration (entrepreneuriat)"
"ECO 1300","Analyse microéconomique","Cours avec examen",3,6772,"Administration (entrepreneuriat)"
"DRT 1060","Droit des affaires","Cours avec examen",3,6772,"Administration (entrepreneuriat)"
"FIN 1020","Administration financière 1","Cours avec examen",3,6772,"Administration (entrepreneuriat)"
"ADM 1002","Initiation à la gestion","Cours avec examen",3,6772,"Administration (entrepreneuriat)"
"ADM 3011","Éthique et responsabilité sociale des entreprises","Cours avec examen",3,6772,"Administration (entrepreneuriat)"
"ECO 2400","Analyse macroéconomique","Cours avec examen",3,6772,"Administration (entrepreneuriat)"
"ADM 1420","Gestion des opérations","Cours avec examen",3,6772,"Administration (entrepreneuriat)"
"MQT 2001","Statistiques appliquées à la gestion","Cours avec examen",3,6772,"Administration (entrepreneuriat)"
"ADM 1402","Entreprise et société","Cours avec examen",3,6772,"Administration (entrepreneuriat)"
"ADM 4007","Analyse stratégique de l'entreprise","Cours avec examen",3,6772,"Administration (entrepreneuriat)"
"ADM 1400","Théories de l'organisation","Cours sans examen",3,6772,"Administration (entrepreneuriat)"
"ADM 3028","Len enjeux éthiques, légaux et sociétaux des TI","Cours avec examen",3,6772,"Administration (entrepreneuriat)"
"SCO 2006","Contrôle de gestion","Cours avec examen",3,6772,"Administration (entrepreneuriat)"
"ADM 2014","Devenir entrepreneur","Cours sans examen",3,6772,"Administration (entrepreneuriat)"
"ADM 9001","Bâtir une entreprise: des connaissances et des méthodes","Cours sans examen",3,6772,"Administration (entrepreneuriat)"
"ADM 2115","Réaliser un projet d'affaires","Cours avec examen",3,6772,"Administration (entrepreneuriat)"
"ADM 9003","Gestion de la TPE/PME","Cours sans examen",3,6772,"Administration (entrepreneuriat)"
"ADM 9003A","Gestion TPE/PME: simulation","Cours sans examen",3,6772,"Administration (entrepreneuriat)"
"ADM 2115A","Simulation SIM-Plan d'affaires","Cours sans examen",3,6772,"Administration (entrepreneuriat)"
"ADM 4007B","Rédiger son plan d'affaires","Cours sans examen",3,6772,"Administration (entrepreneuriat)"
"ADM 1450","Initiation à la gestion de projets","Cours avec examen",3,6772,"Administration (entrepreneuriat)"
"ADM 2011","Administration marketing","Cours avec examen",3,6772,"Administration (entrepreneuriat)"
"ADM 2021","Marketing international","Cours avec examen",3,6772,"Administration (entrepreneuriat)"
"ADM 2124","Entrepreneuriat social et entreprise collective","A définir prochainement",3,6772,"Administration (entrepreneuriat)"
"ADM 3007","Initiatives de développement local et d'économie sociale","Cours avec examen",3,6772,"Administration (entrepreneuriat)"
"ADM 3014","Développement économique et soutien à l'entrepreneuriat","Cours sans examen",3,6772,"Administration (entrepreneuriat)"
"ADM 3014A","Simulation-Soutien à l'entrepreneuriat et développement économique","Cours sans examen",3,6772,"Administration (entrepreneuriat)"
"ADM 7015","Stratégies de sollicitation en planification financière personnelle","Cours avec examen",3,6772,"Administration (entrepreneuriat)"
"ECO 3005","Développement économique et emploi","Cours avec examen",3,6772,"Administration (entrepreneuriat)"
"FIN 2022","Analyse financière et gestion du fonds de roulement","Cours avec examen",3,6772,"Administration (entrepreneuriat)"
"FIN 3120","Éléments d'analyse du crédit productif en microfinance","Cours avec examen",3,6772,"Administration (entrepreneuriat)"
"INT 2030","Coopération internationale, gouvernance et développement démocratique","Cours avec examen",3,6772,"Administration (entrepreneuriat)"
"ADM 4010","Stratégie d'entreprise","Cours avec examen",3,6772,"Administration (entrepreneuriat)"
"ADM 4055","Intervention en entrepreneuriat","A définir prochainement",3,6772,"Administration (entrepreneuriat)"
"ADM 4065","Observation en entrepreneuriat","A définir prochainement",3,6772,"Administration (entrepreneuriat)"
"ENV 2010","Gestion des ressources: faune et habitat","Cours avec examen",3,265,"Gestion des ressources fauniques"
"ENV 1110","Changements climatiques","Cours sans examen",3,265,"Gestion des ressources fauniques"
"ENV 3015","Évaluation environnementale","Cours sans examen",3,265,"Gestion des ressources fauniques"
"ENV 3026","Économie et gestion du développement durable","Cours sans examen",3,265,"Gestion des ressources fauniques"
"ENV 3111","Gestion environnementale des ressources forestières","Cours avec examen",3,265,"Gestion des ressources fauniques"
"ENV 4012","Environnement international","Cours sans examen",3,265,"Gestion des ressources fauniques"
"ENV 1101","Introduction à la gestion des ressources naturelles","Cours avec examen",3,4390,"Sciences de l'environnement"
"ENV 1110","Changements climatiques","Cours sans examen",3,4390,"Sciences de l'environnement"
"ENV 3015","Évaluation environnementale","Cours sans examen",3,4390,"Sciences de l'environnement"
"ENV 2010","Gestion des ressources: faune et habitat","Cours avec examen",3,4390,"Sciences de l'environnement"
"ENV 3013",Écotoxicologie,"Cours avec examen",3,4390,"Sciences de l'environnement"
"ENV 3017","Santé et environnement","Cours sans examen",3,4390,"Sciences de l'environnement"
"ENV 3022","Gestion environnementale du milieu urbain","Cours avec examen",3,4390,"Sciences de l'environnement"
"ENV 3026","Économie et gestion du développement durable","Cours sans examen",3,4390,"Sciences de l'environnement"
"ENV 3111","Gestion environnementale des ressources forestières","Cours avec examen",3,4390,"Sciences de l'environnement"
"ENV 3112","Gestion environnementale des ressources agricoles","A définir prochainement",3,4390,"Sciences de l'environnement"
"ENV 3114","Agroforesterie et développement durable","Cours avec examen",3,4390,"Sciences de l'environnement"
"ENV 3140","Les normes environnementales ISO 14000","Cours sans examen",3,4390,"Sciences de l'environnement"
"ENV 4012","Environnement international","Cours sans examen",3,4390,"Sciences de l'environnement"
"ENV 4014","Technologies d'assainissement et prévention de la pollution","Cours avec examen",3,4390,"Sciences de l'environnement"
"ENV 4016","Améganement du territoire et environnement","Cours avec examen",3,4390,"Sciences de l'environnement"
"GEO 1001","Introduction à la géographie physique","Cours avec examen",3,4390,"Sciences de l'environnement"
"SCI 1018","Statistiques avec R","Cours avec examen",3,4390,"Sciences de l'environnement"
"ENV 1101","Introduction à la gestion des ressources naturelles","Cours avec examen",3,6004,"Sciences de l'environnement"
"ENV 1110","Changements climatiques","Cours sans examen",3,6004,"Sciences de l'environnement"
"ENV 3026","Économie et gestion du développement durable","Cours sans examen",3,6004,"Sciences de l'environnement"
"SCI 1018","Statistiques avec R","Cours avec examen",3,6004,"Sciences de l'environnement"
"ENV 3015","Évaluation environnementale","Cours sans examen",3,6004,"Sciences de l'environnement"
"ENV 3140","Les normes environnementales ISO 14000","Cours sans examen",3,6004,"Sciences de l'environnement"
"ENV 3142","Modélisation pour la prise de décision environnementale","Information manquante",3,6004,"Sciences de l'environnement"
"GEO 1100","systèmes d'information géographique","Information manquante",3,6004,"Sciences de l'environnement"
"SCI 1013","Introduction aux méthodes de recherche scientifique","Cours sans examen",3,6004,"Sciences de l'environnement"
"ENV 2010","Gestion des ressources: faune et habitat","Cours avec examen",3,6004,"Sciences de l'environnement"
"ENV 3013",Écotoxicologie,"Cours avec examen",3,6004,"Sciences de l'environnement"
"ENV 3017","Santé et environnement","Cours sans examen",3,6004,"Sciences de l'environnement"
"ENV 3022","Gestion environnementale du milieu urbain","Cours avec examen",3,6004,"Sciences de l'environnement"
"ENV 3111","Gestion environnementale des ressources forestières","Cours avec examen",3,6004,"Sciences de l'environnement"
"ENV 3112","Gestion environnementale des ressources agricoles","Information manquante",3,6004,"Sciences de l'environnement"
"ENV 3114","Agroforesterie et développement durable","Cours avec examen",3,6004,"Sciences de l'environnement"
"ENV 4012","Environnement international","Cours sans examen",3,6004,"Sciences de l'environnement"
"ENV 4014","Technologies d'assainissement et prévention de la pollution","Cours avec examen",3,6004,"Sciences de l'environnement"
"ENV 4016","Améganement du territoire et environnement","Cours avec examen",3,6004,"Sciences de l'environnement"
"ENV 4018","Gestion des océans et des zones côtières","Information manquante",3,6004,"Sciences de l'environnement"
"EUT 5120","Tourisme de nature et d'aventures","Information manquante",3,6004,"Sciences de l'environnement"
"GEO 1001","Introduction à la géographie physique","Cours avec examen",3,6004,"Sciences de l'environnement"
"ADM 1450","Initiation à la gestion de projets","Cours avec examen",3,6004,"Sciences de l'environnement"
"COM 1021","Techniques d'animation et d'intervention","Cours avec examen",3,6004,"Sciences de l'environnement"
"COM 3023","Déontologie et éthique de la production de l'information","Cours sans examen",3,6004,"Sciences de l'environnement"
"COM 5000","Communication organisationnelle","Cours avec examen",3,6004,"Sciences de l'environnement"
"SCI 1230","Travail scientifique et technologies de l'information","Cours sans examen",3,6004,"Sciences de l'environnement"
"TED 1272","Les TIC et l'apprentissage en milieu de travail","Cours sans examen",3,6004,"Sciences de l'environnement"
"ENV 4025","Projet d'intégration","Cours sans examen",3,6004,"Sciences de l'environnement"
"ENV 4027",Séminaire,"Cours sans examen",3,6004,"Sciences de l'environnement"
"ENV 6002","Gestion internationale du développement durable","Cours sans examen",3,639,"Environnement international"
"ENV 6000","Pensées écologiques et environnement international","Cours sans examen",3,639,"Environnement international"
"ENV 6003","Changements climatiques: impacts, adaptation, mitigation","Cours sans examen",3,639,"Environnement international"
"ENV 6005","Populations, écosystèmes et services écosystémiques","Cours sans examen",3,639,"Environnement international"
"ENV 6006","Résolution de problèmes environnementaux","Cours sans examen",3,639,"Environnement international"
"ENV 6007","Océans et gestion intégrée des zones côtières","Cours sans examen",3,639,"Environnement international"
"ENV 6008","Modélisation et systèmes d'aide à la décision en environnement","Cours sans examen",3,639,"Environnement international"
"ENV 6010","Gestion des zones côtières: écotourisme et activités d'observation des mammifères marins","Cours sans examen",3,639,"Environnement international"
"ENV 6011","Fondements et pratiques en santé environnementale","Cours sans examen",3,639,"Environnement international"
"ENV 6012","Aires marines protégées : conservation et protection de l'habitat des cétacés","Cours sans examen",3,639,"Environnement international"
"ENV 6007","Océans et gestion intégrée des zones côtières","Cours sans examen",3,961,"Gestion intégrée dez zones côtières"
"ENV 6002","Gestion internationale du développement durable","Cours sans examen",3,961,"Gestion intégrée dez zones côtières"
"ENV 6003","Changements climatiques: impacts, adaptation, mitigation","Cours sans examen",3,961,"Gestion intégrée dez zones côtières"
"ENV 6008","Modélisation et systèmes d'aide à la décision en environnement","Cours sans examen",3,961,"Gestion intégrée dez zones côtières"
"ENV 6010","Gestion des zones côtières: écotourisme et activités d'observation des mammifères marins","Cours sans examen",3,961,"Gestion intégrée dez zones côtières"
"ENV 6011","Fondements et pratiques en santé environnementale","Cours sans examen",3,961,"Gestion intégrée dez zones côtières"
"ENV 6012","Aires marines protégées : conservation et protection de l'habitat des cétacés","Cours sans examen",3,961,"Gestion intégrée dez zones côtières"
"ENV 6002","Gestion internationale du développement durable","Cours sans examen",3,1937,"Environnement international (profil professionnel)"
"ENV 6000","Pensées écologiques et environnement international","Cours sans examen",3,1937,"Environnement international (profil professionnel)"
"ENV 6003","Changements climatiques: impacts, adaptation, mitigation","Cours sans examen",3,1937,"Environnement international (profil professionnel)"
"ENV 6005","Populations, écosystèmes et services écosystémiques","Cours sans examen",3,1937,"Environnement international (profil professionnel)"
"ENV 6006","Résolution de problèmes environnementaux","Cours sans examen",3,1937,"Environnement international (profil professionnel)"
"ENV 6007","Océans et gestion intégrée des zones côtières","Cours sans examen",3,1937,"Environnement international (profil professionnel)"
"ENV 6008","Modélisation et systèmes d'aide à la décision en environnement","Cours sans examen",3,1937,"Environnement international (profil professionnel)"
"ENV 6009","Approche écosystèmique de la santé","Information manquante",3,1937,"Environnement international (profil professionnel)"
"ENV 6010","Gestion des zones côtières: écotourisme et activités d'observation des mammifères marins","Cours sans examen",3,1937,"Environnement international (profil professionnel)"
"ENV 6011","Fondements et pratiques en santé environnementale","Cours sans examen",3,1937,"Environnement international (profil professionnel)"
"ENV 6012","Aires marines protégées : conservation et protection de l'habitat des cétacés","Cours sans examen",3,1937,"Environnement international (profil professionnel)"
"ENV 6410","Lectures dirigées","Cours sans examen",3,1937,"Environnement international (profil professionnel)"
"ENV 6425",Séminaire,"Cours sans examen",3,1937,"Environnement international (profil professionnel)"
"ENV 6000","Pensées écologiques et environnement international","Cours sans examen",3,1938,"Environnement international (profil recherche appliquée)"
"ENV 6002","Gestion internationale du développement durable","Cours sans examen",3,1938,"Environnement international (profil recherche appliquée)"
"ENV 6003","Changements climatiques: impacts, adaptation, mitigation","Cours sans examen",3,1938,"Environnement international (profil recherche appliquée)"
"ENV 6005","Populations, écosystèmes et services écosystémiques","Cours sans examen",3,1938,"Environnement international (profil recherche appliquée)"
"ENV 6006","Résolution de problèmes environnementaux","Cours sans examen",3,1938,"Environnement international (profil recherche appliquée)"
"ENV 6007","Océans et gestion intégrée des zones côtières","Cours sans examen",3,1938,"Environnement international (profil recherche appliquée)"
"ENV 6008","Modélisation et systèmes d'aide à la décision en environnement","Cours sans examen",3,1938,"Environnement international (profil recherche appliquée)"
"ENV 6009","Approche écosystèmique de la santé","Information manquante",3,1938,"Environnement international (profil recherche appliquée)"
"ENV 6010","Gestion des zones côtières: écotourisme et activités d'observation des mammifères marins","Cours sans examen",3,1938,"Environnement international (profil recherche appliquée)"
"ENV 6011","Fondements et pratiques en santé environnementale","Cours sans examen",3,1938,"Environnement international (profil recherche appliquée)"
"ENV 6012","Aires marines protégées : conservation et protection de l'habitat des cétacés","Cours sans examen",3,1938,"Environnement international (profil recherche appliquée)"
"ENV 6410","Lectures dirigées","Cours sans examen",3,1938,"Environnement international (profil recherche appliquée)"
"ENV 6420","Recherche appliquée","Cours sans examen",3,1938,"Environnement international (profil recherche appliquée)"
"ENV 6425",Séminaire,"Cours sans examen",3,1938,"Environnement international (profil recherche appliquée)"
"ENV 6007","Océans et gestion intégrée des zones côtières","Cours sans examen",3,2477,"Gestion intégrée des zones côtières (profil professionnel)"
"ENV 6010","Gestion des zones côtières: écotourisme et activités d'observation des mammifères marins","Cours sans examen",3,2477,"Gestion intégrée des zones côtières (profil professionnel)"
"ENV 6006","Résolution de problèmes environnementaux","Cours sans examen",3,2477,"Gestion intégrée des zones côtières (profil professionnel)"
"ENV 6012","Aires marines protégées : conservation et protection de l'habitat des cétacés","Cours sans examen",3,2477,"Gestion intégrée des zones côtières (profil professionnel)"
"ENV 6018","Services écosystémiques en milieux côtiers et marins","Information manquante",3,2477,"Gestion intégrée des zones côtières (profil professionnel)"
"ENV 6003","Changements climatiques: impacts, adaptation, mitigation","Cours sans examen",3,2477,"Gestion intégrée des zones côtières (profil professionnel)"
"ENV 6014","Impacts des changements climatiques et de l'augmentation du niveau de la mer en zone côtière","Information manquante",3,2477,"Gestion intégrée des zones côtières (profil professionnel)"
"ENV 6011","Fondements et pratiques en santé environnementale","Cours sans examen",3,2477,"Gestion intégrée des zones côtières (profil professionnel)"
"ENV 6020","Écotoxicologie aquatique","Information manquante",3,2477,"Gestion intégrée des zones côtières (profil professionnel)"
"ENV 6008","Modélisation et systèmes d'aide à la décision en environnement","Cours sans examen",3,2477,"Gestion intégrée des zones côtières (profil professionnel)"
"ENV 6016","Méthodes de géomatique appliquées aux zones côtières","Information manquante",3,2477,"Gestion intégrée des zones côtières (profil professionnel)"
"ENV 6410","Lectures dirigées","Cours sans examen",3,2477,"Gestion intégrée des zones côtières (profil professionnel)"
"ENV 6007","Océans et gestion intégrée des zones côtières","Cours sans examen",3,2478,"Gestion intégrée des zones côtières (profil recherche appliquée)"
"ENV 6006","Résolution de problèmes environnementaux","Cours sans examen",3,2478,"Gestion intégrée des zones côtières (profil recherche appliquée)"
"ENV 6010","Gestion des zones côtières: écotourisme et activités d'observation des mammifères marins","Cours sans examen",3,2478,"Gestion intégrée des zones côtières (profil recherche appliquée)"
"ENV 6012","Aires marines protégées : conservation et protection de l'habitat des cétacés","Cours sans examen",3,2478,"Gestion intégrée des zones côtières (profil recherche appliquée)"
"ENV 6018","Services écosystémiques en milieux côtiers et marins","Information manquante",3,2478,"Gestion intégrée des zones côtières (profil recherche appliquée)"
"ENV 6003","Changements climatiques: impacts, adaptation, mitigation","Cours sans examen",3,2478,"Gestion intégrée des zones côtières (profil recherche appliquée)"
"ENV 6014","Impacts des changements climatiques et de l'augmentation du niveau de la mer en zone côtière","Information manquante",3,2478,"Gestion intégrée des zones côtières (profil recherche appliquée)"
"ENV 6011","Fondements et pratiques en santé environnementale","Cours sans examen",3,2478,"Gestion intégrée des zones côtières (profil recherche appliquée)"
"ENV 6020","Écotoxicologie aquatique","Information manquante",3,2478,"Gestion intégrée des zones côtières (profil recherche appliquée)"
"ENV 6008","Modélisation et systèmes d'aide à la décision en environnement","Cours sans examen",3,2478,"Gestion intégrée des zones côtières (profil recherche appliquée)"
"ENV 6016","Méthodes de géomatique appliquées aux zones côtières","Information manquante",3,2478,"Gestion intégrée des zones côtières (profil recherche appliquée)"
"ENV 6410","Lectures dirigées","Cours sans examen",3,2478,"Gestion intégrée des zones côtières (profil recherche appliquée)"
"ENV 6420","Recherche appliquée","Cours sans examen",3,2478,"Gestion intégrée des zones côtières (profil recherche appliquée)"
"ENV 6425",Séminaire,"Cours sans examen",3,2478,"Gestion intégrée des zones côtières (profil recherche appliquée)"
"ADM 1700","Principes de l'assurance de personnes","Cours avec examen",3,4731,"Planification financière(cheminement général)"
"ADM 7012","Retraite et planification successorale","Cours avec examen",3,4731,"Planification financière(cheminement général)"
"ADM 7014","Approfondissement de la planification successorale","Cours avec examen",3,4731,"Planification financière(cheminement général)"
"ADM 7030","Activité d'intégration en planification financière","Cours avec examen",3,4731,"Planification financière(cheminement général)"
"DRT 1910","Aspects juridiques pour planificateurs financiers","Cours avec examen",3,4731,"Planification financière(cheminement général)"
"FIN 1932","Fonds d'inverstissement et produits finenciers","Cours avec examen",3,4731,"Planification financière(cheminement général)"
"SCO 1060","Fiscalité 1","Cours avec examen",3,4731,"Planification financière(cheminement général)"
"SCO 1064","Fiscalité 2 pour planificateurs financiers","Cours avec examen",3,4731,"Planification financière(cheminement général)"
"ADM 7015","Stratégies de sollicitation en planification financière personnelle","Cours avec examen",3,4731,"Planification financière(cheminement général)"
"ECO 2400","Analyse macroéconomique","Cours avec examen",3,4731,"Planification financière(cheminement général)"
"FIN 1020","Administration financière 1","Cours avec examen",3,4731,"Planification financière(cheminement général)"
"SCO 1205","Initiation à la comptabilité financière","Cours avec examen",3,4731,"Planification financière(cheminement général)"
"ADM 1700","Principes de l'assurance de personnes","Cours avec examen",3,4751,"Planification financière (cheminement Mouvement Desjardins)"
"ADM 7012","Retraite et planification successorale","Cours avec examen",3,4751,"Planification financière (cheminement Mouvement Desjardins)"
"ADM 7014","Approfondissement de la planification successorale","Cours avec examen",3,4751,"Planification financière (cheminement Mouvement Desjardins)"
"ADM 7030","Activité d'intégration en planification financière","Cours avec examen",3,4751,"Planification financière (cheminement Mouvement Desjardins)"
"DRT 1910","Aspects juridiques pour planificateurs financiers","Cours avec examen",3,4751,"Planification financière (cheminement Mouvement Desjardins)"
"FIN 1932","Fonds d'inverstissement et produits finenciers","Cours avec examen",3,4751,"Planification financière (cheminement Mouvement Desjardins)"
"SCO 1060","Fiscalité 1","Cours avec examen",3,4751,"Planification financière (cheminement Mouvement Desjardins)"
"SCO 1064","Fiscalité 2 pour planificateurs financiers","Cours avec examen",3,4751,"Planification financière (cheminement Mouvement Desjardins)"
"ADM 7015","Stratégies de sollicitation en planification financière personnelle","Cours avec examen",3,4751,"Planification financière (cheminement Mouvement Desjardins)"
"ECO 2400","Analyse macroéconomique","Cours avec examen",3,4751,"Planification financière (cheminement Mouvement Desjardins)"
"FIN 1020","Administration financière 1","Cours avec examen",3,4751,"Planification financière (cheminement Mouvement Desjardins)"
"SCO 1205","Initiation à la comptabilité financière","Cours avec examen",3,4751,"Planification financière (cheminement Mouvement Desjardins)"
"ADM 1013","Comportement organisationnel","Cours avec examen",3,6774,"Administration (comptabilité et finance)"
"ADM 2007","Introduction au marketing","Cours avec examen",3,6774,"Administration (comptabilité et finance)"
"SCO 1205","Initiation à la comptabilité financière","Cours avec examen",3,6774,"Administration (comptabilité et finance)"
"ADM 1015","Gestion des ressources humaines","Cours avec examen",3,6774,"Administration (comptabilité et finance)"
"ADM 2006","Les systèmes d'information de gestion","Cours avec examen",3,6774,"Administration (comptabilité et finance)"
"ECO 1300","Analyse microéconomique","Cours avec examen",3,6774,"Administration (comptabilité et finance)"
"DRT 1060","Droit des affaires","Cours avec examen",3,6774,"Administration (comptabilité et finance)"
"FIN 1020","Administration financière 1","Cours avec examen",3,6774,"Administration (comptabilité et finance)"
"ADM 1002","Initiation à la gestion","Cours avec examen",3,6774,"Administration (comptabilité et finance)"
"ADM 3011","Éthique et responsabilité sociale des entreprises","Cours avec examen",3,6774,"Administration (comptabilité et finance)"
"ECO 2400","Analyse macroéconomique","Cours avec examen",3,6774,"Administration (comptabilité et finance)"
"ADM 1420","Gestion des opérations","Cours avec examen",3,6774,"Administration (comptabilité et finance)"
"MQT 2001","Statistiques appliquées à la gestion","Cours avec examen",3,6774,"Administration (comptabilité et finance)"
"ADM 1402","Entreprise et société","Cours avec examen",3,6774,"Administration (comptabilité et finance)"
"ADM 4007","Analyse stratégique de l'entreprise","Cours avec examen",3,6774,"Administration (comptabilité et finance)"
"ADM 1400","Théories de l'organisation","Cours sans examen",3,6774,"Administration (comptabilité et finance)"
"ADM 3028","Len enjeux éthiques, légaux et sociétaux des TI","Cours avec examen",3,6774,"Administration (comptabilité et finance)"
"FIN 1936","Valeurs mobilières et gestion de portefeuille","Cours avec examen",3,6774,"Administration (comptabilité et finance)"
"FIN 2020","Administration financière 2","Cours avec examen",3,6774,"Administration (comptabilité et finance)"
"FIN 2022","Analyse financière et gestion du fonds de roulement","Cours avec examen",3,6774,"Administration (comptabilité et finance)"
"FIN 2024","Évaluation d'entreprise","Cours sans examen",3,6774,"Administration (comptabilité et finance)"
"FIN 3120","Éléments d'analyse du crédit productif en microfinance","Cours avec examen",3,6774,"Administration (comptabilité et finance)"
"SCO 1060","Fiscalité 1","Cours avec examen",3,6774,"Administration (comptabilité et finance)"
"SCO 2001","Initiation à la comptabilité ed management","Cours avec examen",3,6774,"Administration (comptabilité et finance)"
"SCO 3001","Comptabilité de management et contr[ole ","Cours avec examen",3,6774,"Administration (comptabilité et finance)"
"SCO 3202","Comptabilité intermédiaire 1","Cours avec examen",3,6774,"Administration (comptabilité et finance)"
"SCO 3212","Comptabilité intermédiaire 2","Cours avec examen",3,6774,"Administration (comptabilité et finance)"
"SCO 3214","Gouvernance d'entreprise: aspects comptables et financiers","Cours avec examen",3,6774,"Administration (comptabilité et finance)"
"ADM 1450","Initiation à la gestion de projets","Cours avec examen",3,6774,"Administration (comptabilité et finance)"
"ADM 3013","Gestion de la responsabilité sociale des entreprises","A définir prochainement",3,6774,"Administration (comptabilité et finance)"
"DRT 1062","Gouvernance de l'entreprise et responsabilités juridiques des administrateurs","Cours avec examen",3,6774,"Administration (comptabilité et finance)"
"ECO 2011","Économie du Québec","Cours avec examen",3,6774,"Administration (comptabilité et finance)"
"FIN 1932","Fonds d'inverstissement et produits finenciers","Cours avec examen",3,6774,"Administration (comptabilité et finance)"
"FIN 2301","Paradis fiscaux et finance offshore","Cours sans examen",3,6774,"Administration (comptabilité et finance)"
"SCO 1065","Fiscalité 2","Cours avec examen",3,6774,"Administration (comptabilité et finance)"
"SCO 2205","Présentation et analyse des états financiers","Cours avec examen",3,6774,"Administration (comptabilité et finance)"
"SCO 4001","Certification et éthique professionnelle","Cours avec examen",3,6774,"Administration (comptabilité et finance)"
"ADM 1013","Comportement organisationnel","Cours avec examen",3,6770,"Administration (planification financière)"
"ADM 2007","Introduction au marketing","Cours avec examen",3,6770,"Administration (planification financière)"
"SCO 1205","Initiation à la comptabilité financière","Cours avec examen",3,6770,"Administration (planification financière)"
"ADM 1015","Gestion des ressources humaines","Cours avec examen",3,6770,"Administration (planification financière)"
"ADM 2006","Les systèmes d'information de gestion","Cours avec examen",3,6770,"Administration (planification financière)"
"ECO 1300","Analyse microéconomique","Cours avec examen",3,6770,"Administration (planification financière)"
"DRT 1060","Droit des affaires","Cours avec examen",3,6770,"Administration (planification financière)"
"FIN 1020","Administration financière 1","Cours avec examen",3,6770,"Administration (planification financière)"
"ADM 1002","Initiation à la gestion","Cours avec examen",3,6770,"Administration (planification financière)"
"ADM 3011","Éthique et responsabilité sociale des entreprises","Cours avec examen",3,6770,"Administration (planification financière)"
"ECO 2400","Analyse macroéconomique","Cours avec examen",3,6770,"Administration (planification financière)"
"ADM 1420","Gestion des opérations","Cours avec examen",3,6770,"Administration (planification financière)"
"MQT 2001","Statistiques appliquées à la gestion","Cours avec examen",3,6770,"Administration (planification financière)"
"ADM 1402","Entreprise et société","Cours avec examen",3,6770,"Administration (planification financière)"
"ADM 4007","Analyse stratégique de l'entreprise","Cours avec examen",3,6770,"Administration (planification financière)"
"ADM 1400","Théories de l'organisation","Cours sans examen",3,6770,"Administration (planification financière)"
"ADM 3028","Len enjeux éthiques, légaux et sociétaux des TI","Cours avec examen",3,6770,"Administration (planification financière)"
"ADM 1700","Principes de l'assurance de personnes","Cours avec examen",3,6770,"Administration (planification financière)"
"ADM 7012","Retraite et planification successorale","Cours avec examen",3,6770,"Administration (planification financière)"
"ADM 7014","Approfondissement de la planification successorale","Cours avec examen",3,6770,"Administration (planification financière)"
"ADM 7015","Stratégies de sollicitation en planification financière personnelle","Cours avec examen",3,6770,"Administration (planification financière)"
"ADM 7030","Activité d'intégration en planification financière","Cours avec examen",3,6770,"Administration (planification financière)"
"DRT 1910","Aspects juridiques pour planificateurs financiers","Cours avec examen",3,6770,"Administration (planification financière)"
"FIN 1932","Fonds d'inverstissement et produits finenciers","Cours avec examen",3,6770,"Administration (planification financière)"
"SCO 1060","Fiscalité 1","Cours avec examen",3,6770,"Administration (planification financière)"
"SCO 1064","Fiscalité 2 pour planificateurs financiers","Cours avec examen",3,6770,"Administration (planification financière)"
"FIN 1936","Valeurs mobilières et gestion de portefeuille","Cours avec examen",3,6770,"Administration (planification financière)"
"FIN 2020","Administration financière 2","Cours avec examen",3,6770,"Administration (planification financière)"
